Name,NameEsp,ItemID,ItemNID
Weathered Cut Copper Stairs,Escaleras de cobre cortado degradado,weathered_cut_copper_stairs,88
Oxidized Cut Copper Stairs,Escaleras de cobre cortado oxidado,oxidized_cut_copper_stairs,89
Cut Copper Slab,Losa de cobre cortado,cut_copper_slab,90
Exposed Cut Copper Slab,Losa de cobre cortado expuesto,exposed_cut_copper_slab,91
Weathered Cut Copper Slab,Losa de cobre cortado degradado,weathered_cut_copper_slab,92
Oxidized Cut Copper Slab,Losa de cobre cortado oxidado,oxidized_cut_copper_slab,93
Waxed Block of Copper,Bloque de cobre encerado,waxed_copper_block,94
Waxed Exposed Copper,Cobre expuesto encerado,waxed_exposed_copper,95
Waxed Weathered Copper,Cobre degradado encerado,waxed_weathered_copper,96
Waxed Oxidized Copper,Cobre oxidado encerado,waxed_oxidized_copper,97
Waxed Cut Copper,Cobre cortado encerado,waxed_cut_copper,98
Waxed Exposed Cut Copper,Cobre cortado expuesto encerado,waxed_exposed_cut_copper,99
Waxed Weathered Cut Copper,Cobre cortado degradado encerado,waxed_weathered_cut_copper,100
Waxed Oxidized Cut Copper,Cobre cortado oxidado encerado,waxed_oxidized_cut_copper,101
Waxed Cut Copper Stairs,Escaleras de cobre cortado encerado,waxed_cut_copper_stairs,102
Waxed Exposed Cut Copper Stairs,Escaleras de cobre cortado expuesto encerado,waxed_exposed_cut_copper_stairs,103
Waxed Weathered Cut Copper Stairs,Escaleras de cobre cortado degradado encerado,waxed_weathered_cut_copper_stairs,104
Waxed Oxidized Cut Copper Stairs,Escaleras de cobre cortado oxidado encerado,waxed_oxidized_cut_copper_stairs,105
Waxed Cut Copper Slab,Losa de cobre cortado encerado,waxed_cut_copper_slab,106
Waxed Exposed Cut Copper Slab,Losa de cobre cortado expuesto encerado,waxed_exposed_cut_copper_slab,107
Waxed Weathered Cut Copper Slab,Losa de cobre cortado degradado encerado,waxed_weathered_cut_copper_slab,108
Waxed Oxidized Cut Copper Slab,Losa de cobre cortado oxidado encerado,waxed_oxidized_cut_copper_slab,109
Oak Log,Tronco de roble,oak_log,110
Spruce Log,Tronco de abeto,spruce_log,111
Birch Log,Tronco de abedul,birch_log,112
Jungle Log,Tronco de jungla,jungle_log,113
Acacia Log,Tronco de acacia,acacia_log,114
Cherry Log,Tronco de cerezo,cherry_log,115
Dark Oak Log,Tronco de roble oscuro,dark_oak_log,116
Mangrove Log,Tronco de mangle,mangrove_log,117
Mangrove Roots,Raíces de mangle,mangrove_roots,118
Muddy Mangrove Roots,Raíces de mangle embarradas,muddy_mangrove_roots,119
Crimson Stem,Tallo carmesí,crimson_stem,120
Warped Stem,Tallo distorsionado,warped_stem,121
Block of Bamboo,Bloque de bambú,bamboo_block,122
Stripped Oak Log,Tronco de roble sin corteza,stripped_oak_log,123
Stripped Spruce Log,Tronco de abeto sin corteza,stripped_spruce_log,124
Stripped Birch Log,Tronco de abedul sin corteza,stripped_birch_log,125
Stripped Jungle Log,Tronco de jungla sin corteza,stripped_jungle_log,126
Stripped Acacia Log,Tronco de acacia sin corteza,stripped_acacia_log,127
Stripped Cherry Log,Tronco de cerezo sin corteza,stripped_cherry_log,128
Stripped Dark Oak Log,Tronco de roble oscuro sin corteza,stripped_dark_oak_log,129
Stripped Mangrove Log,Tronco de mangle sin corteza,stripped_mangrove_log,130
Stripped Crimson Stem,Tallo carmesí pelado,stripped_crimson_stem,131
Stripped Warped Stem,Tallo distorsionado pelado,stripped_warped_stem,132
Stripped Oak Wood,Leño de roble sin corteza,stripped_oak_wood,133
Stripped Spruce Wood,Leño de abeto sin corteza,stripped_spruce_wood,134
Stripped Birch Wood,Leño de abedul sin corteza,stripped_birch_wood,135
Stripped Jungle Wood,Leño de jungla sin corteza,stripped_jungle_wood,136
Stripped Acacia Wood,Leño de acacia sin corteza,stripped_acacia_wood,137
Stripped Cherry Wood,Leño de cerezo sin corteza,stripped_cherry_wood,138
Stripped Dark Oak Wood,Leño de roble oscuro sin corteza,stripped_dark_oak_wood,139
Stripped Mangrove Wood,Leño de mangle sin corteza,stripped_mangrove_wood,140
Stripped Crimson Hyphae,Hifas carmesí peladas,stripped_crimson_hyphae,141
Stripped Warped Hyphae,Hifas distorsionadas peladas,stripped_warped_hyphae,142
Block of Stripped Bamboo,Bloque de bambú pelado,stripped_bamboo_block,143
Oak Wood,Leño de roble,oak_wood,144
Spruce Wood,Leño de abeto,spruce_wood,145
Birch Wood,Leño de abedul,birch_wood,146
Jungle Wood,Leño de jungla,jungle_wood,147
Acacia Wood,Leño de acacia,acacia_wood,148
Cherry Wood,Leño de cerezo,cherry_wood,149
Dark Oak Wood,Leño de roble oscuro,dark_oak_wood,150
Mangrove Wood,Leño de mangle,mangrove_wood,151
Crimson Hyphae,Hifas carmesí,crimson_hyphae,152
Warped Hyphae,Hifas distorsionadas,warped_hyphae,153
Oak Leaves,Hojas de roble,oak_leaves,154
Spruce Leaves,Hojas de abeto,spruce_leaves,155
Birch Leaves,Hojas de abedul,birch_leaves,156
Jungle Leaves,Hojas de jungla,jungle_leaves,157
Acacia Leaves,Hojas de acacia,acacia_leaves,158
Cherry Leaves,Hojas de cerezo,cherry_leaves,159
Dark Oak Leaves,Hojas de roble oscuro,dark_oak_leaves,160
Mangrove Leaves,Hojas de mangle,mangrove_leaves,161
Azalea Leaves,Hojas de azalea,azalea_leaves,162
Flowering Azalea Leaves,Hojas de azalea florecida,flowering_azalea_leaves,163
Sponge,Esponja,sponge,164
Wet Sponge,Esponja mojada,wet_sponge,165
Glass,Cristal,glass,166
Tinted Glass,Cristal opaco,tinted_glass,167
Block of Lapis Lazuli,Bloque de lapislázuli,lapis_block,168
Sandstone,Arenisca,sandstone,169
Chiseled Sandstone,Arenisca cincelada,chiseled_sandstone,170
Cut Sandstone,Arenisca cortada,cut_sandstone,171
Cobweb,Telaraña,cobweb,172
Fern,Helecho,fern,174
Azalea,Azalea,azalea,175
Flowering Azalea,Azalea florecida,flowering_azalea,176
Dead Bush,Arbusto muerto,dead_bush,177
Seagrass,Hierba marina,seagrass,178
Sea Pickle,Pepino de mar,sea_pickle,179
White Wool,Lana blanca,white_wool,180
Orange Wool,Lana naranja,orange_wool,181
Magenta Wool,Lana magenta,magenta_wool,182
Light Blue Wool,Lana azul claro,light_blue_wool,183
Yellow Wool,Lana amarilla,yellow_wool,184
Lime Wool,Lana lima,lime_wool,185
Pink Wool,Lana rosa,pink_wool,186
Gray Wool,Lana gris,gray_wool,187
Light Gray Wool,Lana gris claro,light_gray_wool,188
Cyan Wool,Lana cian,cyan_wool,189
Purple Wool,Lana morada,purple_wool,190
Blue Wool,Lana azul,blue_wool,191
Brown Wool,Lana marrón,brown_wool,192
Green Wool,Lana verde,green_wool,193
Red Wool,Lana roja,red_wool,194
Black Wool,Lana negra,black_wool,195
Dandelion,Diente de león,dandelion,196
Poppy,Amapola,poppy,197
Blue Orchid,Orquídea azul,blue_orchid,198
Allium,Allium,allium,199
Azure Bluet,Azure bluet,azure_bluet,200
Red Tulip,Tulipán rojo,red_tulip,201
Orange Tulip,Tulipán naranja,orange_tulip,202
White Tulip,Tulipán blanco,white_tulip,203
Pink Tulip,Tulipán rosa,pink_tulip,204
Oxeye Daisy,Margarita,oxeye_daisy,205
Cornflower,Aciano,cornflower,206
Lily of the Valley,Convalaria,lily_of_the_valley,207
Wither Rose,Rosa del Wither,wither_rose,208
Torchflower,Plantorcha,torchflower,209
Pitcher Plant,Planta odre,pitcher_plant,210
Spore Blossom,Flor de esporas,spore_blossom,211
Brown Mushroom,Champiñón marrón,brown_mushroom,212
Red Mushroom,Champiñón rojo,red_mushroom,213
Crimson Fungus,Hongo carmesí,crimson_fungus,214
Warped Fungus,Hongo distorsionado,warped_fungus,215
Crimson Roots,Raíces carmesí,crimson_roots,216
Warped Roots,Raíces distorsionadas,warped_roots,217
Nether Sprouts,Rastrojo del Nether,nether_sprouts,218
Weeping Vines,Enredaderas lacrimosas,weeping_vines,219
Twisting Vines,Enredaderas retorcidas,twisting_vines,220
Sugar Cane,Caña de azúcar,sugar_cane,221
Kelp,Alga,kelp,222
Pink Petals,Pétalos rosas,pink_petals,224
Moss Carpet,Capa de musgo,moss_carpet,223
Moss Block,Bloque de musgo,moss_block,225
Hanging Roots,Raíces colgantes,hanging_roots,226
Big Dripleaf,Plantaforma grande,big_dripleaf,227
Small Dripleaf,Plantaforma pequeña,small_dripleaf,228
Bamboo,Bambú,bamboo,229
Oak Slab,Losa de roble,oak_slab,230
Spruce Slab,Losa de abeto,spruce_slab,231
Birch Slab,Losa de abedul,birch_slab,232
Jungle Slab,Losa de jungla,jungle_slab,233
Acacia Slab,Losa de acacia,acacia_slab,234
Cherry Slab,Losa de cerezo,cherry_slab,235
Dark Oak Slab,Losa de roble oscuro,dark_oak_slab,236
Mangrove Slab,Losa de mangle,mangrove_slab,237
Bamboo Slab,Losa de bambú,bamboo_slab,238
Bamboo Mosaic Slab,Losa de mosaico de bambú,bamboo_mosaic_slab,239
Crimson Slab,Losa carmesí,crimson_slab,240
Warped Slab,Losa distorsionada,warped_slab,241
Stone Slab,Losa de piedra,stone_slab,242
Smooth Stone Slab,Losa de piedra,smooth_stone_slab,243
Sandstone Slab,Losa de arenisca,sandstone_slab,244
Cut Sandstone Slab,Losa de arenisca cortada,cut_sandstone_slab,245
Cobblestone Slab,Losa de roca,cobblestone_slab,247
Brick Slab,Losa de ladrillos,brick_slab,248
Stone Brick Slab,Losa de ladrillos de piedra,stone_brick_slab,249
Mud Brick Slab,Losa de ladrillos de adobe,mud_brick_slab,250
Nether Brick Slab,Losa de ladrillos del Nether,nether_brick_slab,251
Quartz Slab,Losa de cuarzo,quartz_slab,252
Red Sandstone Slab,Losa de arenisca roja,red_sandstone_slab,253
Cut Red Sandstone Slab,Losa de arenisca roja cortada,cut_red_sandstone_slab,254
Purpur Slab,Losa de purpur,purpur_slab,255
Prismarine Slab,Losa de prismarina,prismarine_slab,256
Prismarine Brick Slab,Losa de ladrillos de prismarina,prismarine_brick_slab,257
Dark Prismarine Slab,Losa de prismarina oscura,dark_prismarine_slab,258
Smooth Quartz Block,Bloque de cuarzo liso,smooth_quartz,259
Smooth Red Sandstone,Arenisca roja lisa,smooth_red_sandstone,260
Smooth Sandstone,Arenisca lisa,smooth_sandstone,261
Smooth Stone,Piedra lisa,smooth_stone,262
Bricks,Ladrillos,bricks,263
Bookshelf,Librería,bookshelf,264
Chiseled Bookshelf,Estantería,chiseled_bookshelf,265
Decorated Pot,Vasija decorada,decorated_pot,266
Mossy Cobblestone,Roca musgosa,mossy_cobblestone,267
Obsidian,Obsidiana,obsidian,268
Torch,Antorcha,torch,269
End Rod,Vara del End,end_rod,270
Chorus Flower,Flor chorus,chorus_flower,272
Purpur Block,Bloque de purpur,purpur_block,273
Purpur Pillar,Pilar de purpur,purpur_pillar,274
Purpur Stairs,Escaleras de purpur,purpur_stairs,275
Chest,Cofre,chest,277
Crafting Table,Mesa de trabajo,crafting_table,278
Furnace,Horno,furnace,280
Ladder,Escalera de mano,ladder,281
Cobblestone Stairs,Escaleras de roca,cobblestone_stairs,282
Snow,Capa de nieve,snow,283
Ice,Hielo,ice,284
Snow Block,Bloque de nieve,snow_block,285
Cactus,Cactus,cactus,286
Clay,Bloque de arcilla,clay,287
Jukebox,Tocadiscos,jukebox,288
Oak Fence,Valla de roble,oak_fence,289
Spruce Fence,Valla de abeto,spruce_fence,290
Birch Fence,Valla de abedul,birch_fence,291
Jungle Fence,Valla de jungla,jungle_fence,292
Acacia Fence,Valla de acacia,acacia_fence,293
Cherry Fence,Valla de cerezo,cherry_fence,294
Dark Oak Fence,Valla de roble oscuro,dark_oak_fence,295
Mangrove Fence,Valla de mangle,mangrove_fence,296
Bamboo Fence,Valla de bambú,bamboo_fence,297
Crimson Fence,Valla carmesí,crimson_fence,298
Warped Fence,Valla distorsionada,warped_fence,299
Pumpkin,Calabaza,pumpkin,300
Carved Pumpkin,Calabaza tallada,carved_pumpkin,301
Jack o'Lantern,Calabaza de Halloween,jack_o_lantern,302
Netherrack,Netherrack,netherrack,303
Soul Sand,Arena de almas,soul_sand,304
Soul Soil,Tierra de almas,soul_soil,305
Basalt,Basalto,basalt,306
Polished Basalt,Basalto pulido,polished_basalt,307
Smooth Basalt,Basalto liso,smooth_basalt,308
Soul Torch,Antorcha de almas,soul_torch,309
Glowstone,Piedra luminosa,glowstone,310
Stone Bricks,Ladrillos de piedra,stone_bricks,318
Mossy Stone Bricks,Ladrillos de piedra musgosos,mossy_stone_bricks,319
Cracked Stone Bricks,Ladrillos de piedra agrietados,cracked_stone_bricks,320
Chiseled Stone Bricks,Ladrillos de piedra cincelados,chiseled_stone_bricks,321
Packed Mud,Adobe,packed_mud,322
Mud Bricks,Ladrillos de adobe,mud_bricks,323
Deepslate Bricks,Ladrillos de pizarra profunda,deepslate_bricks,324
Cracked Deepslate Bricks,Ladrillos de pizarra profunda agrietados,cracked_deepslate_bricks,325
Deepslate Tiles,Baldosas de pizarra profunda,deepslate_tiles,326
Cracked Deepslate Tiles,Baldosas de pizarra profunda agrietadas,cracked_deepslate_tiles,327
Chiseled Deepslate,Pizarra profunda cincelada,chiseled_deepslate,328
Brown Mushroom Block,Bloque de champiñón marrón,brown_mushroom_block,330
Red Mushroom Block,Bloque de champiñón rojo,red_mushroom_block,331
Mushroom Stem,Tallo de champiñón,mushroom_stem,332
Iron Bars,Barrotes de hierro,iron_bars,333
Chain,Cadena,chain,334
Glass Pane,Panel de cristal,glass_pane,335
Melon,Sandía,melon,336
Vines,Enredaderas,vine,337
Glow Lichen,Liquen luminoso,glow_lichen,338
Brick Stairs,Escaleras de ladrillos,brick_stairs,339
Stone Brick Stairs,Escaleras de ladrillos de piedra,stone_brick_stairs,340
Mud Brick Stairs,Escaleras de ladrillos de adobe,mud_brick_stairs,341
Mycelium,Micelio,mycelium,342
Lily Pad,Nenúfar,lily_pad,343
Nether Bricks,Ladrillos del Nether,nether_bricks,344
Cracked Nether Bricks,Ladrillos del Nether agrietados,cracked_nether_bricks,345
Chiseled Nether Bricks,Ladrillos del Nether cincelados,chiseled_nether_bricks,346
Nether Brick Fence,Valla de ladrillos del Nether,nether_brick_fence,347
Nether Brick Stairs,Escaleras de ladrillos del Nether,nether_brick_stairs,348
Sculk,Sculk,sculk,349
Sculk Vein,Vena de sculk,sculk_vein,350
Sculk Catalyst,Catalizador de sculk,sculk_catalyst,351
Sculk Shrieker,Chillador de sculk,sculk_shrieker,352
Enchanting Table,Mesa de encantamientos,enchanting_table,353
End Stone,Piedra del End,end_stone,355
End Stone Bricks,Ladrillos de piedra del End,end_stone_bricks,356
Dragon Egg,Huevo de dragón,dragon_egg,357
Sandstone Stairs,Escaleras de arenisca,sandstone_stairs,358
Ender Chest,Cofre de ender,ender_chest,359
Block of Emerald,Bloque de esmeralda,emerald_block,360
Oak Stairs,Escaleras de roble,oak_stairs,361
Spruce Stairs,Escaleras de abeto,spruce_stairs,362
Birch Stairs,Escaleras de abedul,birch_stairs,363
Jungle Stairs,Escaleras de jungla,jungle_stairs,364
Acacia Stairs,Escaleras de acacia,acacia_stairs,365
Cherry Stairs,Escaleras de cerezo,cherry_stairs,366
Dark Oak Stairs,Escaleras de roble oscuro,dark_oak_stairs,367
Mangrove Stairs,Escaleras de mangle,mangrove_stairs,368
Bamboo Stairs,Escaleras de bambú,bamboo_stairs,369
Bamboo Mosaic Stairs,Escaleras de mosaico de bambú,bamboo_mosaic_stairs,370
Crimson Stairs,Escaleras carmesí,crimson_stairs,371
Warped Stairs,Escaleras distorsionadas,warped_stairs,372
Beacon,Faro,beacon,374
Cobblestone Wall,Muro de roca,cobblestone_wall,375
Mossy Cobblestone Wall,Muro de roca musgosa,mossy_cobblestone_wall,376
Brick Wall,Muro de ladrillos,brick_wall,377
Prismarine Wall,Muro de prismarina,prismarine_wall,378
Red Sandstone Wall,Muro de arenisca roja,red_sandstone_wall,379
Mossy Stone Brick Wall,Muro de ladrillos de piedra musgosos,mossy_stone_brick_wall,380
Granite Wall,Muro de granito,granite_wall,381
Stone Brick Wall,Muro de ladrillos de piedra,stone_brick_wall,382
Mud Brick Wall,Muro de ladrillos de adobe,mud_brick_wall,383
Nether Brick Wall,Muro de ladrillos del Nether,nether_brick_wall,384
Andesite Wall,Muro de andesita,andesite_wall,385
Red Nether Brick Wall,Muro de ladrillos del Nether rojos,red_nether_brick_wall,386
Sandstone Wall,Muro de arenisca,sandstone_wall,387
End Stone Brick Wall,Muro de ladrillos de piedra del End,end_stone_brick_wall,388
Diorite Wall,Muro de diorita,diorite_wall,389
Blackstone Wall,Muro de piedra negra,blackstone_wall,390
Polished Blackstone Wall,Muro de piedra negra pulida,polished_blackstone_wall,391
Polished Blackstone Brick Wall,Muro de ladrillos de piedra negra pulida,polished_blackstone_brick_wall,392
Cobbled Deepslate Wall,Muro de pizarra profunda rocosa,cobbled_deepslate_wall,393
Polished Deepslate Wall,Muro de pizarra profunda pulida,polished_deepslate_wall,394
Deepslate Brick Wall,Muro de ladrillos de pizarra profunda,deepslate_brick_wall,395
Deepslate Tile Wall,Muro de baldosas de pizarra profunda,deepslate_tile_wall,396
Anvil,Yunque,anvil,397
Chipped Anvil,Yunque dañado,chipped_anvil,398
Damaged Anvil,Yunque muy dañado,damaged_anvil,399
Chiseled Quartz Block,Cuarzo cincelado,chiseled_quartz_block,400
Block of Quartz,Cuarzo,quartz_block,401
Quartz Bricks,Ladrillos de cuarzo,quartz_bricks,402
Quartz Pillar,Pilar de cuarzo,quartz_pillar,403
Quartz Stairs,Escaleras de cuarzo,quartz_stairs,404
White Terracotta,Terracota blanca,white_terracotta,405
Orange Terracotta,Terracota naranja,orange_terracotta,406
Magenta Terracotta,Terracota magenta,magenta_terracotta,407
Light Blue Terracotta,Terracota azul claro,light_blue_terracotta,408
Yellow Terracotta,Terracota amarilla,yellow_terracotta,409
Lime Terracotta,Terracota verde lima,lime_terracotta,410
Pink Terracotta,Terracota rosa,pink_terracotta,411
Gray Terracotta,Terracota gris,gray_terracotta,412
Light Gray Terracotta,Terracota gris claro,light_gray_terracotta,413
Cyan Terracotta,Terracota cian,cyan_terracotta,414
Purple Terracotta,Terracota morada,purple_terracotta,415
Blue Terracotta,Terracota azul,blue_terracotta,416
Brown Terracotta,Terracota marrón,brown_terracotta,417
Green Terracotta,Terracota verde,green_terracotta,418
Red Terracotta,Terracota roja,red_terracotta,419
Black Terracotta,Terracota negra,black_terracotta,420
Hay Bale,Bala de heno,hay_block,423
White Carpet,Alfombra blanca,white_carpet,424
Orange Carpet,Alfombra naranja,orange_carpet,425
Magenta Carpet,Alfombra magenta,magenta_carpet,426
Light Blue Carpet,Alfombra azul claro,light_blue_carpet,427
Yellow Carpet,Alfombra amarilla,yellow_carpet,428
Lime Carpet,Alfombra verde lima,lime_carpet,429
Pink Carpet,Alfombra rosa,pink_carpet,430
Gray Carpet,Alfombra gris,gray_carpet,431
Light Gray Carpet,Alfombra gris claro,light_gray_carpet,432
Cyan Carpet,Alfombra cian,cyan_carpet,433
Purple Carpet,Alfombra morada,purple_carpet,434
Blue Carpet,Alfombra azul,blue_carpet,435
Brown Carpet,Alfombra marrón,brown_carpet,436
Green Carpet,Alfombra verde,green_carpet,437
Red Carpet,Alfombra roja,red_carpet,438
Black Carpet,Alfombra negra,black_carpet,439
Terracotta,Terracota,terracotta,440
Packed Ice,Hielo compacto,packed_ice,441
Sunflower,Girasol,sunflower,443
Lilac,Lila,lilac,444
Rose Bush,Rosal,rose_bush,445
Peony,Peonía,peony,446
Tall Grass,Hierba alta,tall_grass,447
Large Fern,Helecho grande,large_fern,448
White Stained Glass,Cristal tintado de blanco,white_stained_glass,449
Orange Stained Glass,Cristal tintado de naranja,orange_stained_glass,450
Magenta Stained Glass,Cristal tintado de magenta,magenta_stained_glass,451
Light Blue Stained Glass,Cristal tintado de azul claro,light_blue_stained_glass,452
Yellow Stained Glass,Cristal tintado de amarillo,yellow_stained_glass,453
Lime Stained Glass,Cristal tintado de verde lima,lime_stained_glass,454
Pink Stained Glass,Cristal tintado de rosa,pink_stained_glass,455
Gray Stained Glass,Cristal tintado de gris,gray_stained_glass,456
Light Gray Stained Glass,Cristal tintado de gris claro,light_gray_stained_glass,457
Cyan Stained Glass,Cristal tintado de cian,cyan_stained_glass,458
Purple Stained Glass,Cristal tintado de morado,purple_stained_glass,459
Blue Stained Glass,Cristal tintado de azul,blue_stained_glass,460
Brown Stained Glass,Cristal tintado de marrón,brown_stained_glass,461
Green Stained Glass,Cristal tintado de verde,green_stained_glass,462
Red Stained Glass,Cristal tintado de rojo,red_stained_glass,463
Black Stained Glass,Cristal tintado de negro,black_stained_glass,464
White Stained Glass Pane,Panel de cristal tintado de blanco,white_stained_glass_pane,465
Orange Stained Glass Pane,Panel de cristal tintado de naranja,orange_stained_glass_pane,466
Magenta Stained Glass Pane,Panel de cristal tintado de magenta,magenta_stained_glass_pane,467
Light Blue Stained Glass Pane,Panel de cristal tintado de azul claro,light_blue_stained_glass_pane,468
Yellow Stained Glass Pane,Panel de cristal tintado de amarillo,yellow_stained_glass_pane,469
Lime Stained Glass Pane,Panel de cristal tintado de verde lima,lime_stained_glass_pane,470
Pink Stained Glass Pane,Panel de cristal tintado de rosa,pink_stained_glass_pane,471
Gray Stained Glass Pane,Panel de cristal tintado de gris,gray_stained_glass_pane,472
Light Gray Stained Glass Pane,Panel de cristal tintado de gris claro,light_gray_stained_glass_pane,473
Cyan Stained Glass Pane,Panel de cristal tintado de cian,cyan_stained_glass_pane,474
Purple Stained Glass Pane,Panel de cristal tintado de morado,purple_stained_glass_pane,475
Blue Stained Glass Pane,Panel de cristal tintado de azul,blue_stained_glass_pane,476
Brown Stained Glass Pane,Panel de cristal tintado de marrón,brown_stained_glass_pane,477
Green Stained Glass Pane,Panel de cristal tintado de verde,green_stained_glass_pane,478
Red Stained Glass Pane,Panel de cristal tintado de rojo,red_stained_glass_pane,479
Black Stained Glass Pane,Panel de cristal tintado de negro,black_stained_glass_pane,480
Prismarine,Prismarina,prismarine,481
Prismarine Bricks,Ladrillos de prismarina,prismarine_bricks,482
Dark Prismarine,Prismarina oscura,dark_prismarine,483
Prismarine Stairs,Escaleras de prismarina,prismarine_stairs,484
Prismarine Brick Stairs,Escaleras de ladrillos de prismarina,prismarine_brick_stairs,485
Dark Prismarine Stairs,Escaleras de prismarina oscura,dark_prismarine_stairs,486
Sea Lantern,Linterna marina,sea_lantern,487
Red Sandstone,Arenisca roja,red_sandstone,488
Chiseled Red Sandstone,Arenisca roja cincelada,chiseled_red_sandstone,489
Cut Red Sandstone,Arenisca roja cortada,cut_red_sandstone,490
Red Sandstone Stairs,Escaleras de arenisca roja,red_sandstone_stairs,491
Magma Block,Bloque de magma,magma_block,494
Nether Wart Block,Bloque de verrugas del Nether,nether_wart_block,495
Warped Wart Block,Bloque de verrugas distorsionadas,warped_wart_block,496
Red Nether Bricks,Ladrillos del Nether rojos,red_nether_bricks,497
Bone Block,Bloque de huesos,bone_block,498
Shulker Box,Caja de shulker,shulker_box,500
